series_names,release_year,ratings,synopsis,cast,director
The Chair,2021,86.0,The trials and tribulations of an English department chair at a major university....,"Sandra Oh, Jay Duplass, Holland Taylor, Nana Mensah","Sandra Oh, Amanda Peet, David Benioff, D.B. Weiss"
I Am Not Okay With This,2020,86.0,"A teenager navigates the complexities of high school, family and her sexuality while dealing with new superpowers; based on Charles...","Sophia Lillis, Wyatt Oleff, Sofia Bryant, Kathleen Rose Perkins","Jonathan Entwistle, Christy Hall, Shawn Levy, Dan Levine"
Midnight Mass,2021,86.0,"The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervor to a dying town....","Zach Gilford, Kate Siegel, Hamish Linklater, Annabeth Gish",Mike Flanagan
Sense8,2015,86.0,"Eight strangers around the globe find themselves connected -- first by a violent vision, then by their shared ability to...","Brian J. Smith, Tuppence Middleton, Jamie Clayton, Miguel Ángel Silvestre","Lana Wachowski, Grant Hill, J. Michael Straczynski"
Atypical,2017,87.0,"This heartfelt comedy follows Sam, a teenager on the autism spectrum, who has decided he is ready for romance. In...","Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine","Robia Rashid, Mary Rohlich, Theresa Mulligan Rosenthal"
Gilmore Girls: A Year in the Life,2016,87.0,,"Lauren Graham, Alexis Bledel, Scott Gordon-Patterson, Kelly Bishop","Amy Sherman-Palladino, Daniel Palladino"
Bridgerton,2020,,"Bridgerton follows Daphne Bridgerton (Phoebe Dynevor), the eldest daughter of the powerful Bridgerton family as she makes her debut onto...","Julie Andrews, Phoebe Dynevor, Jonathan Bailey, Ruby Barker","Chris Van Dusen, Shonda Rhimes, Betsy Beers, Julie Anne Robinson"
Marvel's Luke Cage,2016,87.0,"This gritty, action-packed drama follows the evolution of Luke Cage (Mike Colter), a man with super strength and unbreakable skin...","Mike Colter, Simone Missick, Rosario Dawson, Alfre Woodard","Cheo Hodari Coker, Jeph Loeb, Jim Chory"
Ghoul,2018,88.0,"When a new prisoner arrives at a military detention center exhibiting eerie behavior, young interrogator Nida Rahim searches for the...","Radhika Apte, Manav Kaul, Ratnabali Bhattacharjee",
Archive 81,2022,84.0,An archivist takes a job restoring damaged videotapes and gets pulled into a mystery involving the missing director and a...,"Mamoudou Athie, Dina Shihabi, Evan Jonigkeit, Matt McGorry","Rebecca Thomas, Paul Harris Boardman, James Wan, Michael Clear"
Longmire,2012,88.0,"Based on the Walt Longmire mystery novels by best-selling author Craig Johnson, this contemporary crime drama stars Australian actor Robert...","Robert Taylor, Lou Diamond Phillips, Katee Sackhoff, Cassidy Freeman","Hunt Baldwin, John Coveny, Greer Shephard, Michael M. Robin"
The Dark Crystal: Age of Resistance,2019,88.0,"When three Gelfling discover the horrifying secret behind the Skeksis' power, they set out on an epic journey to ignite...","Taron Egerton, Anya Taylor-Joy, Nathalie Emmanuel, Caitriona Balfe","Lisa Henson, Louis Leterrier, Halle Stanford"
Shadow and Bone,2021,88.0,Sinister forces plot against a young soldier after she reveals a magical power that may unite her world....,"Jessie Mei Li, Archie Renaux, Freddy Carter, Amita Suman","Eric Heisserer, Shawn Levy, Dan Levine, Josh Barry"
Grace and Frankie,2016,88.0,"For as long as they can recall, Grace and Frankie have been rivals. Their one-upmanship comes crashing to a halt,...","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston","Marta Kauffman, Howard J. Morris, Paula Weinstein, Jane Fonda"
The Haunting of Bly Manor,2020,88.0,A young governess arrives at Bly Manor and begins to see apparitions haunting the estate....,"Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve","Justin Falvey, Mike Flanagan, Diane Ademu-John, Trevor Macy"
Lucifer,2016,88.0,"Based on characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg, this series follows Lucifer, the original fallen angel,...","Tom Ellis, Lauren German, DB Woodside, Kevin Alejandro",Nathan Hope
Murder Among the Mormons,2021,89.0,High-stakes exploits turn deadly and shake a global church to its core....,"Chris Richards, John Michael May","Jared Hess, Tyler Measom, Joe Berlinger, Ryan O'Dowd"
Black Summer,2019,89.0,"Set in the ""Z Nation"" universe, this series follows a crack team of special forces as it fights for hope...","Jaime King, Justin Chu Cary, Kelsey Flower, Christine Lee",Abram Cox
w/Bob & David,2015,89.0,Bob and David are back serving the country by making sketch comedy....,"Bob Odenkirk, David Cross, Paul F. Tompkins, Jill Talley",
Dead to Me,2019,89.0,"Jen's husband recently died in a hit-and-run, and the sardonic widow is determined to solve the crime. Optimistic free spirit...","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins","Liz Feldman, Jessica Elbaum, Christie Smith, Christina Applegate"
Narcos,2015,89.0,Netflix chronicles the rise of the cocaine trade in Colombia and the gripping real-life stories of drug kingpins of the...,"Pedro Pascal, Arturo Castro, Kerry Bishé, Michael Stahl-David","José Padilha, Eric Newman, Doug Miro, Carlos Bernard"
Santa Clarita Diet,2017,89.0,"Drew Barrymore and Timothy Olyphant star in this Netflix-original series as married realtors, Sheila and Joel, who are living a...","Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo","Victor Fresco, Drew Barrymore, Timothy Olyphant, Aaron Kaplan"
Bling Empire,2021,90.0,"Wildly wealthy Asian and Asian American fun seekers go all out with parties, glamour and drama in Los Angeles....","Christine Chiu, Kane Lim, Cherie Chan, Kelly Mi Li",
Easy,2016,90.0,"From director and creator Joe Swanberg, this Netflix-original comedy anthology series explores diverse Chicago characters, modern romance technology and culture....",,Joe Swanberg
Wormwood,2017,90.0,Oscar-winning filmmaker Errol Morris examines the 1953 death of scientist and CIA employee Frank Olson in this docudrama. Olson fell...,"Peter Sarsgaard, Molly Parker, Christian Camargo, Scott Shepherd",
Narcos: Mexico,2018,90.0,"This continuation of ""Narcos"" explores the origins of the modern drug war by going back to its roots, starting at...","Scoot McNairy, Diego Luna, José María Yazpik, Luis Gerardo Méndez","Eric Newman, José Padilha, Doug Miro, Carlo Bernard"
Orange Is the New Black,2013,90.0,Piper Chapman is a public relations executive with a career and a fiance when her past suddenly catches up to...,"Taylor Schilling, Natasha Lyonne, Uzo Aduba, Danielle Brooks","Andrew McCarthy, Phil Abraham, Tara Herrmann, Jenji Kohan"
The Crown,2016,90.0,"Based on an award-winning play (""The Audience"") by showrunner Peter Morgan, this lavish, Netflix-original drama chronicles the life of Queen...","Olivia Colman, Tobias Menzies, Helena Bonham Carter, Josh O'Connor","Peter Morgan, Stephen Daldry, Philip Martin, Andy Harries"
We Are: The Brooklyn Saints,2021,91.0,"The stories of driven young athletes in an inner-city youth football league, as well as the coaches and parents rallying...",,"Rudy Valdez, Rudy Valdez"
The Devil Next Door,2019,91.0,"A Cleveland grandfather is brought to trial in Israel, accused of being the infamous Nazi death camp guard Ivan the...","Eli Gabay, Eli Rosenbaum, Lawrence Douglas, Ted Henry","Yossi Bloch, Daniel Sivan, Ben Braun, Guy Lavie"
Queen Sono,2020,91.0,A highly trained South African spy takes on her most dangerous mission yet while facing changing relationships in her personal...,"Pearl Thusi, Vuyo Dabula, Shane John Kruger, Natasha Loring","Kagiso Lediga, Tamsin Andersson"
Pretend It's a City,2021,91.0,"Sitting down with filmmaker Martin Scorsese, humorist Fran Lebowitz weighs in on New York City tourists, money, subways, the arts,...","Fran Lebowitz, Martin Scorsese",Martin Scorsese
The Midnight Gospel,2020,91.0,"A space caster traverses trippy worlds inside his universe simulator, exploring existential questions about life, death and everything in between....","Duncan Trussell, Phil Hendrie, Drew Pinsky, Joey Diaz","Antonio Canobbio, Ben Kalina, Chris Prynoski, Duncan Trussell"
The Last Kingdom,2015,91.0,"As a child, Uhtred witnessed his father being killed and the Saxon army defeated by invading troops. Danish warlord Earl...","Alexander Dreymon, David Dawson, Ian Hart, Emily Cox","Gareth Neame, Nigel Marchant, Stephen Butchard"
You,2018,91.0,"What would you do for love? For a brilliant male bookstore manager who crosses paths with an aspiring female writer,...","Penn Badgley, Victoria Pedretti, Saffron Burrows, Tati Gabrielle","Greg Berlanti, Sera Gamble, Sarah Schechter, Leslie Morgenstein"
Sky rojo,2021,92.0,"On the run from their pimp and his henchmen, three women embark on a frantic journey in search of freedom....","Verónica Sánchez, Lali Espósito, Asier Etxeandia, Miguel Ángel Silvestre","Álex Pina, Esther Martínez Lobato, Eduardo Chapero-Jackson, Javier Quintas"
Tribes of Europa,2021,92.0,"In 2070, three siblings set out to change the fate of Europe after a global catastrophe fractures it into countless...","Emilio Sakraya, Henriette Confurius, David Ali Rashed",
Dating Around,2019,92.0,"Dating can be tough, so it may be a good idea for singles to go with quantity over quality when...",Kate Burr,"James Adolphus, Wylda Bayron, Chris Culvenor"
