company_name,rating,company_type,company_headquarters,company_age,no_of_employees,other_details
Fidelity National ...,4.0,Private,"Jacksonville,Florida + 27 more",17 years old,17 years old,"FinTech / Payments, Software Product"
Wipro Consumer Ca...,3.8,Private,"Bangalore/Bengaluru,Karnataka + 63 more",77 years old,77 years old,"Consumer goods, FMCG, Bangalore/Bengaluru,Karnataka"
Axis Direct,4.0,Private,"Mumbai,Maharashtra + 260 more",11 years old,11 years old,"Financial Services, Mumbai,Maharashtra"
Tata Projects,4.2,Public,"Mumbai,Maharashtra + 165 more",43 years old,43 years old,"Engineering & Construction, Public, Mumbai,Maharashtra"
JSW Steel,3.9,Public,"Mumbai,Maharashtra + 77 more",40 years old,40 years old,"Iron & Steel, Metals & Mining, Conglomerate, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
First Source,3.9,Public,"Mumbai,Maharashtra + 41 more",21 years old,21 years old,"BPO/KPO, BPO / Call Centre, Fortune500, Public, Mumbai,Maharashtra"
Godrej & Boyce Man...,4.0,Private,"Mumbai,Maharashtra + 112 more",125 years old,125 years old,"Manufacturing, Real Estate, Electronics, Engineering & Construction, Consumer Electronics & Appliances, Conglomerate, Mumbai,Maharashtra"
AU Small Finance B...,3.9,Private,"Jaipur,Rajasthan + 241 more",26 years old,26 years old,"Banking, Fortune500, Jaipur,Rajasthan"
Dominos Pizza,4.2,Public,"Ypsilanti,Michigan + 180 more",62 years old,62 years old,"FMCG, Food Processing, Forbes Global 2000, Public"
Delhivery,4.2,Private,Delhi + 350 more,11 years old,11 years old,"Logistics / Shipping, Urban Transport, Courier / Logistics, Ports & Shipping, Unicorn, Delhi"
Aditya Birla Fashi...,4.3,Private,Mumbai + 171 more,7 years old,7 years old,"Retail, Textile & Apparel, Conglomerate, Fortune500, Mumbai"
TATA Steel,4.0,Public,"Mumbai,Maharashtra + 103 more",115 years old,115 years old,"Iron & Steel, Manufacturing, Fortune500, Forbes Global 2000, Public, Mumbai,Maharashtra"
Dell,4.1,Private,"Round Rock,Texas + 74 more",38 years old,38 years old,"Manufacturing, Hardware & Networking, Consumer Electronics & Appliances, Conglomerate, Forbes Global 2000"
Viatris,4.2,"Canonsburg,Pennsylvania + 54 more",61 years old,1k-5k employees (India),1k-5k employees (India),"Manufacturing, Pharmaceutical & Life Sciences, Forbes Global 2000"
UnitedHealth,4.1,Private,"Minnetonka,Minnesota + 11 more",45 years old,45 years old,"Medical Services / Hospital, Forbes Global 2000"
Wells Fargo India,4.1,Private,"San Francisco,California + 10 more",24 years old,24 years old,"Financial Services, Banking, Forbes Global 2000"
Hexaware Technolog...,3.5,Public,"Mumbai,Maharashtra + 24 more",32 years old,32 years old,"BPO/KPO, IT Services & Consulting, Fortune500, Public, Mumbai,Maharashtra"
iEnergizer,3.5,Private,"Noida,Uttar Pradesh + 13 more",22 years old,22 years old,"BPO/KPO, BPO / Call Centre, IT Services & Consulting, Noida,Uttar Pradesh"
Fullerton India,4.2,Private,Mumbai + 344 more,15 years old,15 years old,"NBFC, Fortune500, Mumbai"
